"region","value"
"russia",0.42
"uruguay",0.39
"egypt",0
"saudi arabia",0.15
"portugal",0.5
"spain",0.49
"iran",0.08
"morocco",0.15
"france",0.47
"peru",0.27
"denmark",0.5
"australia",0.15
"argentina",0.55
"croatia",0.44
"iceland",NA
"nigeria",0.28
"brazil",0.67
"switzerland",0.33
"costa rica",0.33
"serbia",0.3
"germany",0.62
"mexico",0.26
"sweden",0.35
"south korea",0.16
"belgium",0.34
"england",0.42
"tunisia",0.08
"panama",NA
"poland",0.48
"colombia",0.39
"senegal",0.4
"japan",0.24
