"region","value"
"russia",0.51
"uruguay",0.43
"egypt",0.49
"saudi arabia",0.48
"portugal",0.48
"spain",0.58
"iran",0.54
"morocco",0.46
"france",0.49
"peru",0.32
"denmark",0.45
"australia",0.49
"argentina",0.54
"croatia",0.53
"iceland",0.31
"nigeria",0.46
"brazil",0.64
"switzerland",0.35
"costa rica",0.43
"serbia",0.44
"germany",0.59
"mexico",0.5
"sweden",0.49
"south korea",0.53
"belgium",0.42
"england",0.57
"tunisia",0.42
"panama",0.32
"poland",0.43
"colombia",0.38
"senegal",0.43
"japan",0.48
