2016-2017²y©u¤W³õ¼Æ¾Ú
¤é´Á,¹ï¤â,µ²ªG,¤W³õ®É¶¡,±o¤À,ÄxªO,§U§ð,§ÛºI,¤õÁç,¥¢»~,¥Ç³W,Âù¤Q,¤j¤T¤¸,©R¤¤²v,¤T¤À²y©R¤¤²v
03/05,@¥§§J,³Ó112-105,37,31,8,6,2,0,2,2,§_,§_,0.458,0.385
03/06,@¦ÑÆN,³Ó119-111,35,24,4,9,0,0,2,4,§_,§_,0.400,0.400
03/08,¶ëº¸¸¦§J,­t86-99,35,23,5,6,0,1,4,4,§_,§_,0.500,0.222
03/10,@¦Ç¯T,­t102-103,35,26,6,7,1,0,6,4,§_,§_,0.370,0.125
03/14,76¤H,³Ó106-104,37,29,6,5,3,0,5,3,§_,§_,0.348,0.385
03/16,Å]³N,³Ó122-92,28,25,1,9,3,0,2,1,§_,§_,0.533,0.286
03/18,¤½³À,³Ó117-92,30,28,4,4,1,1,3,3,§_,§_,0.692,0.750
03/20,@¹p¾^,³Ó111-95,30,23,4,6,0,0,5,3,§_,§_,0.471,0.583
03/21,@¤p¤û,³Ó112-87,30,17,5,9,2,0,0,1,§_,§_,0.500,0.333
03/24,°ê¤ý,³Ó114-100,33,27,7,12,6,0,3,0,¬O,§_,0.500,0.455
03/26,¦Çºµ,³Ó106-94,36,21,1,11,4,0,5,1,¬O,§_,0.444,0.417
03/28,@¤õ½b,³Ó113-106,33,32,10,7,2,0,6,5,¬O,§_,0.500,0.273
03/29,@°¨¨ë,³Ó110-98,35,29,4,11,1,0,2,5,¬O,§_,0.450,0.500
03/31,¤õ½b,³Ó107-98,35,24,7,5,2,0,2,4,§_,§_,0.444,0.444
04/02,§Å®v,³Ó139-115,36,42,1,8,1,0,1,3,§_,§_,0.682,0.643
04/04,¦Ç¯T,³Ó121-107,30,19,3,9,3,2,3,2,§_,§_,0.389,0.375
04/05,@¤Ó¶§,³Ó120-111,35,42,4,11,2,2,3,0,¬O,§_,0.600,0.667
04/10,Àï¤h,­t99-105,30,28,4,4,1,0,1,1,§_,§_,0.563,0.750
